timestamp;router_ping;reference_ping
1657206158,637825;3,242;35,755
1657206158,6938791;11,488;53,867
1657206158,7786298;26,301;35,451
1657206158,859759;8,682;35,012
1657206158,917693;3,209;35,204
1657206158,975384;3,494;34,969
1657206159,030256;3,32;34,343
1657206159,084883;21,834;36,568
1657206159,1561248;3,264;36,14
1657206159,20687;3,534;35,309
1657206159,255821;3,849;35,645
1657206159,306769;3,213;35,42
1657206159,356833;3,437;34,964
1657206159,4072058;2,927;34,826
1657206159,45556;9,958;42,055
1657206159,523919;3,716;35,722
1657206159,579995;13,126;35,04
1657206159,641221;4,984;37,978
1657206159,696171;12,081;35,197
1657206159,7556758;3,385;35,341
1657206159,8058722;7,617;34,902
1657206159,860918;3,316;35,667
1657206159,9143932;3,019;35,554
1657206159,965711;3,497;61,118
1657206160,044926;3,873;43,235
1657206160,107559;3,211;35,648
1657206160,1594298;3,162;46,188
1657206160,2225862;6,347;35,174
1657206160,2802591;14,867;37,169
1657206160,346826;3,244;34,954
1657206160,405638;3,684;35,066
1657206160,456458;3,232;35,349
1657206160,506497;7,168;35,021
1657206160,560351;12,879;65,256
1657206160,649426;3,613;35,229
1657206160,707275;6,439;35,683
1657206160,7641048;3,517;44,526
1657206160,8266711;4,253;72,973
1657206160,945513;3,353;35,073
1657206161,000927;3,13;36,667
1657206161,061289;3,275;35,257
1657206161,114384;8,688;35,125
1657206161,17176;3,228;57,363
1657206161,24648;3,349;34,998
1657206161,3061728;3,266;35,154
1657206161,358475;3,659;36,035
1657206161,413065;31,085;35,33
1657206161,4967868;9,888;35,848
1657206161,5585868;3,277;35,251
1657206161,61092;5,115;37,8
1657206161,673936;3,433;34,95
1657206161,7266948;3,485;36,14
1657206161,787222;20,272;38,623
1657206161,866401;3,692;35,606
1657206161,919837;3,587;36,123
1657206161,971885;3,538;35,835
1657206162,024791;3,383;42,677
1657206162,090157;16,031;35,211
1657206162,160251;5,452;44,859
1657206162,228422;3,564;38,085
1657206162,288765;3,511;42,96
1657206162,358523;3,289;37,694
1657206162,416863;3,929;35,268
1657206162,476393;3,375;35,406
1657206162,5332239;3,37;42,275
1657206162,595798;3,784;35,316
1657206162,661001;3,715;61,735
1657206162,745137;3,783;36,141
1657206162,800108;3,617;35,202
1657206162,85803;5,353;36,84
1657206162,9177139;3,794;37,745
1657206162,976162;30,076;41,809
1657206163,064492;2,613;34,913
1657206163,12033;3,229;34,574
1657206163,1771991;3,31;35,087
1657206163,2361972;3,322;34,986
1657206163,295477;11,779;62,085
1657206163,3860211;9,777;34,981
1657206163,4477482;3,579;44,913
1657206163,509974;4,184;35,224
1657206163,567719;4,064;52,553
1657206163,646017;3,566;35,631
1657206163,705099;3,809;35,104
1657206163,76207;4,045;36,156
1657206163,817869;3,863;34,675
1657206163,878932;27,516;38,566
1657206163,9627142;3,728;35,14
1657206164,015462;3,558;39,017
1657206164,079165;10,41;35,968
1657206164,1468108;4,295;34,723
1657206164,205291;3,992;34,655
1657206164,302231;4,593;35,168
1657206164,4254808;4,427;66,672
1657206164,553191;9,446;34,907
1657206164,690277;3,314;40,389
1657206164,745208;6,392;35,747
1657206164,803519;8,86;34,819
1657206164,858782;3,746;37,483
1657206164,917147;3,667;37,299
1657206164,968668;3,145;35,572
1657206165,019647;3,535;35,974
1657206165,0718331;5,156;53,697
1657206165,145625;3,435;34,111
1657206165,196539;3,182;48,038
1657206165,264242;3,76;34,67
1657206165,317916;13,715;36,927
1657206165,382762;25,024;40,035
1657206165,462944;3,096;35,194
1657206165,519955;13,557;37,295
1657206165,583839;4,355;35,231
1657206165,641834;7,022;35,65
1657206165,701208;5,637;35,069
1657206165,75767;3,984;35,079
1657206165,81811;3,84;63,525
1657206165,9029398;4,182;35,083
1657206165,958729;2,74;34,556
1657206166,010879;4,034;38,725
1657206166,0682502;3,071;34,287
1657206166,119519;2,974;34,451
1657206166,182592;4,542;34,545
